filename,policy,query_type,cross_ratio,zipf_theta,rw_ratio,num_clflush,num_clwb,num_cache_hit,num_cache_miss,cache_hit_rate,total_commit,total_size_index_usage,total_size_metadata_usage,total_size_data_usage,total_size_transport_usage,total_size_misc_usage,total_hw_cc_usage,total_usage,round_trip_latency_50th,round_trip_latency_75th,round_trip_latency_95th,round_trip_latency_99th
policy_Clock_query_rmw_cross90_zipf0.7_rw50.txt,Clock,rmw,90.0,0.7,50.0,1800979.0,2876869.0,3844025.0,1800979.0,68.0961,40643.2,11669472.0,3183016.0,417770850.0,33554544.0,344.0,14852832.0,249976862.0,59.0,62.0,70.0,70.0
policy_Clock_query_rmw_cross90_zipf0.7_rw90.txt,Clock,rmw,90.0,0.7,90.0,1762902.0,2003219.0,16461673.0,1762902.0,90.3268,129268.0,11792448.0,3199992.0,419998950.0,33554544.0,344.0,14992784.0,251112462.0,57.0,59.0,69.0,69.0
policy_Clock_query_rmw_cross90_zipf0.99_rw10.txt,Clock,rmw,90.0,0.99,10.0,,,,,,,,,,,,,,,,,
policy_Clock_query_rmw_cross90_zipf0.99_rw50.txt,Clock,rmw,90.0,0.99,50.0,954054.0,1433321.0,3601808.0,954054.0,79.0588,18974.4,7959032.0,2171944.0,285067650.0,33554544.0,344.0,10131320.0,181340786.0,60.0,66.0,76.0,76.0
policy_Clock_query_rmw_cross90_zipf0.99_rw90.txt,Clock,rmw,90.0,0.99,90.0,1170474.0,1312037.0,11609707.0,1170474.0,90.8415,81607.1,11473400.0,3096320.0,406392000.0,33554544.0,344.0,14570064.0,244182478.0,58.0,60.0,69.0,69.0
policy_Clock_query_scan_cross10_zipf0.5_rw10.txt,Clock,scan,10.0,0.5,10.0,200001.0,200001.0,123667276.0,200001.0,99.8385,393224.0,11873752.0,3200016.0,420002100.0,33554544.0,344.0,15074112.0,251128242.0,58.0,61.0,77.0,77.0
policy_Clock_query_scan_cross10_zipf0.5_rw50.txt,Clock,scan,10.0,0.5,50.0,200000.0,200001.0,124127078.0,200000.0,99.8391,393856.0,11886056.0,3200016.0,420002100.0,33554544.0,344.0,15086416.0,251107066.0,59.0,63.0,70.0,70.0
policy_Clock_query_scan_cross10_zipf0.5_rw90.txt,Clock,scan,10.0,0.5,90.0,200001.0,200001.0,123390367.0,200001.0,99.8382,392324.0,11797240.0,3200016.0,420002100.0,33554544.0,344.0,14997600.0,251058562.0,59.0,65.0,71.0,71.0
policy_Clock_query_scan_cross10_zipf0.7_rw10.txt,Clock,scan,10.0,0.7,10.0,200001.0,199994.0,120883022.0,200001.0,99.8348,380997.0,11775368.0,3199960.0,419994750.0,33554544.0,344.0,14975672.0,251066180.0,57.0,61.0,74.0,74.0
policy_Clock_query_scan_cross10_zipf0.7_rw50.txt,Clock,scan,10.0,0.7,50.0,199999.0,200001.0,120552338.0,199999.0,99.8344,380973.0,11884680.0,3200000.0,420000000.0,33554544.0,344.0,15085024.0,251049674.0,59.0,61.0,74.0,74.0
policy_Clock_query_scan_cross10_zipf0.7_rw90.txt,Clock,scan,10.0,0.7,90.0,199998.0,200000.0,120582568.0,199998.0,99.8344,381756.0,11953000.0,3199984.0,419997900.0,33554544.0,344.0,15153328.0,251171592.0,57.0,61.0,66.0,66.0
policy_Clock_query_scan_cross10_zipf0.99_rw10.txt,Clock,scan,10.0,0.99,10.0,193874.0,194006.0,104244744.0,193874.0,99.8144,325090.0,11528056.0,3103048.0,407275050.0,33554544.0,344.0,14631448.0,244617468.0,57.0,62.0,71.0,71.0
